"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID"
2017,1,65,"Gonzaga","North Carolina",71,1,-6,0,"Gonzaga-North Carolina"
2018,1,54,"Virginia","UMBC",74,16,-20,0,"Virginia-UMBC"
2018,2,68,"Cincinnati","Georgia St.",53,15,15,0,"Cincinnati-Georgia St."
2018,3,73,"Tennessee","Wright St.",47,14,26,0,"Tennessee-Wright St."
2018,4,68,"Arizona","Buffalo",89,13,-21,0,"Arizona-Buffalo"
2018,5,78,"Kentucky","Davidson",73,12,5,0,"Kentucky-Davidson"
2018,6,62,"Miami FL","Loyola Chicago",64,11,-2,0,"Miami FL-Loyola Chicago"
2018,7,87,"Nevada","Texas",83,10,4,0,"Nevada-Texas"
2018,8,59,"Creighton","Kansas St.",69,9,-10,0,"Creighton-Kansas St."
2018,1,102,"Xavier","Texas Southern",83,16,19,0,"Xavier-Texas Southern"
2018,2,84,"North Carolina","Lipscomb",66,15,18,0,"North Carolina-Lipscomb"
2018,3,61,"Michigan","Montana",47,14,14,0,"Michigan-Montana"
2018,4,68,"Gonzaga","UNC Greensboro",64,13,4,0,"Gonzaga-UNC Greensboro"
2018,5,81,"Ohio St.","South Dakota St.",73,12,8,0,"Ohio St.-South Dakota St."
2018,6,67,"Houston","San Diego St.",65,11,2,0,"Houston-San Diego St."
2018,7,73,"Texas A&M","Providence",69,10,4,0,"Texas A&M-Providence"
2018,8,54,"Missouri","Florida St.",67,9,-13,0,"Missouri-Florida St."
2018,1,87,"Villanova","Radford",61,16,26,0,"Villanova-Radford"
2018,2,74,"Purdue","Cal St. Fullerton",48,15,26,0,"Purdue-Cal St. Fullerton"
2018,3,70,"Texas Tech","Stephen F. Austin",60,14,10,0,"Texas Tech-Stephen F. Austin"
2018,4,75,"Wichita St.","Marshall",81,13,-6,0,"Wichita St.-Marshall"
2018,5,85,"West Virginia","Murray St.",68,12,17,0,"West Virginia-Murray St."
2018,6,77,"Florida","St. Bonaventure",62,11,15,0,"Florida-St. Bonaventure"
2018,7,62,"Arkansas","Butler",79,10,-17,0,"Arkansas-Butler"
2018,8,83,"Virginia Tech","Alabama",86,9,-3,0,"Virginia Tech-Alabama"
2018,1,76,"Kansas","Penn",60,16,16,0,"Kansas-Penn"
2018,2,89,"Duke","Iona",67,15,22,0,"Duke-Iona"
2018,3,82,"Michigan St.","Bucknell",78,14,4,0,"Michigan St.-Bucknell"
2018,4,62,"Auburn","College of Charleston",58,13,4,0,"Auburn-College of Charleston"
2018,5,79,"Clemson","New Mexico St.",68,12,11,0,"Clemson-New Mexico St."
2018,6,52,"TCU","Syracuse",57,11,-5,0,"TCU-Syracuse"
2018,7,83,"Rhode Island","Oklahoma",78,10,5,0,"Rhode Island-Oklahoma"
2018,8,94,"Seton Hall","North Carolina St.",83,9,11,0,"Seton Hall-North Carolina St."
2018,16,43,"UMBC","Kansas St.",50,9,-7,1,"UMBC-Kansas St."
2018,2,73,"Cincinnati","Nevada",75,7,-2,0,"Cincinnati-Nevada"
2018,3,62,"Tennessee","Loyola Chicago",63,11,-1,0,"Tennessee-Loyola Chicago"
2018,13,75,"Buffalo","Kentucky",95,5,-20,1,"Buffalo-Kentucky"
2018,1,70,"Xavier","Florida St.",75,9,-5,0,"Xavier-Florida St."
2018,2,65,"North Carolina","Texas A&M",86,7,-21,0,"North Carolina-Texas A&M"
2018,3,64,"Michigan","Houston",63,6,1,0,"Michigan-Houston"
2018,4,90,"Gonzaga","Ohio St.",84,5,6,0,"Gonzaga-Ohio St."
2018,1,81,"Villanova","Alabama",58,9,23,0,"Villanova-Alabama"
2018,2,76,"Purdue","Butler",73,10,3,0,"Purdue-Butler"
2018,3,69,"Texas Tech","Florida",66,6,3,0,"Texas Tech-Florida"
2018,13,71,"Marshall","West Virginia",94,5,-23,1,"Marshall-West Virginia"
2018,1,83,"Kansas","Seton Hall",79,8,4,0,"Kansas-Seton Hall"
2018,2,87,"Duke","Rhode Island",62,7,25,0,"Duke-Rhode Island"
2018,3,53,"Michigan St.","Syracuse",55,11,-2,0,"Michigan St.-Syracuse"
2018,4,53,"Auburn","Clemson",84,5,-31,0,"Auburn-Clemson"
2018,9,61,"Kansas St.","Kentucky",58,5,3,1,"Kansas St.-Kentucky"
2018,7,68,"Nevada","Loyola Chicago",69,11,-1,0,"Nevada-Loyola Chicago"
2018,9,75,"Florida St.","Gonzaga",60,4,15,1,"Florida St.-Gonzaga"
2018,7,72,"Texas A&M","Michigan",99,3,-27,1,"Texas A&M-Michigan"
2018,1,90,"Villanova","West Virginia",78,5,12,0,"Villanova-West Virginia"
2018,2,65,"Purdue","Texas Tech",78,3,-13,0,"Purdue-Texas Tech"
2018,1,80,"Kansas","Clemson",76,5,4,0,"Kansas-Clemson"
2018,2,69,"Duke","Syracuse",65,11,4,0,"Duke-Syracuse"
2018,9,62,"Kansas St.","Loyola Chicago",78,11,-16,0,"Kansas St.-Loyola Chicago"
2018,9,54,"Florida St.","Michigan",58,3,-4,1,"Florida St.-Michigan"
2018,1,71,"Villanova","Texas Tech",59,3,12,0,"Villanova-Texas Tech"
2018,1,85,"Kansas","Duke",81,2,4,0,"Kansas-Duke"
2018,11,57,"Loyola Chicago","Michigan",69,3,-12,1,"Loyola Chicago-Michigan"
2018,1,95,"Villanova","Kansas",79,1,16,0,"Villanova-Kansas"
2018,3,62,"Michigan","Villanova",79,1,-17,1,"Michigan-Villanova"
2019,1,85,"Duke","North Dakota St.",62,16,23,0,"Duke-North Dakota St."
2019,2,76,"Michigan St.","Bradley",65,15,11,0,"Michigan St.-Bradley"
2019,3,79,"LSU","Yale",74,14,5,0,"LSU-Yale"
2019,4,66,"Virginia Tech","Saint Louis",52,13,14,0,"Virginia Tech-Saint Louis"
2019,5,76,"Mississippi St.","Liberty",80,12,-4,0,"Mississippi St.-Liberty"
2019,6,79,"Maryland","Belmont",77,11,2,0,"Maryland-Belmont"
2019,7,76,"Louisville","Minnesota",86,10,-10,0,"Louisville-Minnesota"
2019,8,58,"VCU","UCF",73,9,-15,0,"VCU-UCF"
2019,1,87,"Gonzaga","Fairleigh Dickinson",49,16,38,0,"Gonzaga-Fairleigh Dickinson"
2019,2,74,"Michigan","Montana",55,15,19,0,"Michigan-Montana"
2019,3,72,"Texas Tech","Northern Kentucky",57,14,15,0,"Texas Tech-Northern Kentucky"
2019,4,76,"Florida St.","Vermont",69,13,7,0,"Florida St.-Vermont"
2019,5,64,"Marquette","Murray St.",83,12,-19,0,"Marquette-Murray St."
2019,6,91,"Buffalo","Arizona St.",74,11,17,0,"Buffalo-Arizona St."
2019,7,61,"Nevada","Florida",70,10,-9,0,"Nevada-Florida"
2019,8,69,"Syracuse","Baylor",78,9,-9,0,"Syracuse-Baylor"
2019,1,71,"Virginia","Gardner Webb",56,16,15,0,"Virginia-Gardner Webb"
2019,2,77,"Tennessee","Colgate",70,15,7,0,"Tennessee-Colgate"
2019,3,61,"Purdue","Old Dominion",48,14,13,0,"Purdue-Old Dominion"
2019,4,64,"Kansas St.","UC Irvine",70,13,-6,0,"Kansas St.-UC Irvine"
2019,5,54,"Wisconsin","Oregon",72,12,-18,0,"Wisconsin-Oregon"
2019,6,61,"Villanova","Saint Mary's",57,11,4,0,"Villanova-Saint Mary's"
2019,7,72,"Cincinnati","Iowa",79,10,-7,0,"Cincinnati-Iowa"
2019,8,72,"Mississippi","Oklahoma",95,9,-23,0,"Mississippi-Oklahoma"
2019,1,88,"North Carolina","Iona",73,16,15,0,"North Carolina-Iona"
2019,2,79,"Kentucky","Abilene Christian",44,15,35,0,"Kentucky-Abilene Christian"
2019,3,84,"Houston","Georgia St.",55,14,29,0,"Houston-Georgia St."
2019,4,87,"Kansas","Northeastern",53,13,34,0,"Kansas-Northeastern"
2019,5,78,"Auburn","New Mexico St.",77,12,1,0,"Auburn-New Mexico St."
2019,6,59,"Iowa St.","Ohio St.",62,11,-3,0,"Iowa St.-Ohio St."
2019,7,84,"Wofford","Seton Hall",68,10,16,0,"Wofford-Seton Hall"
2019,8,61,"Utah St.","Washington",78,9,-17,0,"Utah St.-Washington"
2019,1,77,"Duke","UCF",76,9,1,0,"Duke-UCF"
2019,2,70,"Michigan St.","Minnesota",50,10,20,0,"Michigan St.-Minnesota"
2019,3,69,"LSU","Maryland",67,6,2,0,"LSU-Maryland"
2019,4,67,"Virginia Tech","Liberty",58,12,9,0,"Virginia Tech-Liberty"
2019,1,83,"Gonzaga","Baylor",71,9,12,0,"Gonzaga-Baylor"
2019,2,64,"Michigan","Florida",49,10,15,0,"Michigan-Florida"
2019,3,78,"Texas Tech","Buffalo",58,6,20,0,"Texas Tech-Buffalo"
2019,4,90,"Florida St.","Murray St.",62,12,28,0,"Florida St.-Murray St."
2019,1,63,"Virginia","Oklahoma",51,9,12,0,"Virginia-Oklahoma"
2019,2,83,"Tennessee","Iowa",77,10,6,0,"Tennessee-Iowa"
2019,3,87,"Purdue","Villanova",61,6,26,0,"Purdue-Villanova"
2019,13,54,"UC Irvine","Oregon",73,12,-19,1,"UC Irvine-Oregon"
2019,1,81,"North Carolina","Washington",59,9,22,0,"North Carolina-Washington"
2019,2,62,"Kentucky","Wofford",56,7,6,0,"Kentucky-Wofford"
2019,3,74,"Houston","Ohio St.",59,11,15,0,"Houston-Ohio St."
2019,4,75,"Kansas","Auburn",89,5,-14,0,"Kansas-Auburn"
2019,1,75,"Duke","Virginia Tech",73,4,2,0,"Duke-Virginia Tech"
2019,2,80,"Michigan St.","LSU",63,3,17,0,"Michigan St.-LSU"
2019,1,72,"Gonzaga","Florida St.",58,4,14,0,"Gonzaga-Florida St."
2019,2,44,"Michigan","Texas Tech",63,3,-19,0,"Michigan-Texas Tech"
